mass_i,mass_j,distance,time,pos_i_x,pos_i_y,pos_j_x,pos_j_y,message_x,message_y
5.5,7.375,5.013644695281982,9.399999618530273,7.435488,-1.8182701,2.4251955,-2.0015683,13.498646,0.32477927
7.375,5.5,5.013644695281982,9.399999618530273,2.4251955,-2.0015683,7.435488,-1.8182701,17.221548,4.446102
5.5,7.375,5.101504325866699,9.5,7.4870687,-1.8567251,2.3914084,-2.1008415,13.5909,0.3101694
7.375,5.5,5.101504325866699,9.5,2.3914084,-2.1008415,7.4870687,-1.8567251,17.364174,4.4781075
5.5,7.375,5.187520503997803,9.600000381469727,7.5372343,-1.8952479,2.3586767,-2.2000642,13.682754,0.29609698
7.375,5.5,5.187520503997803,9.600000381469727,2.3586767,-2.2000642,7.5372343,-1.8952479,17.505175,4.50848
5.5,7.375,5.2717437744140625,9.699999809265137,7.586032,-1.9338512,2.3269649,-2.2992268,13.7742,0.28253895
7.375,5.5,5.2717437744140625,9.699999809265137,2.3269649,-2.2992268,7.586032,-1.9338512,17.644619,4.5372744
5.5,7.375,5.354221820831299,9.800000190734863,7.6335063,-1.9725466,2.29624,-2.398321,13.865243,0.26947588
7.375,5.5,5.354221820831299,9.800000190734863,2.29624,-2.398321,7.6335063,-1.9725466,17.782558,4.56454
9.25,5.125,4.132852077484131,0.0,4.363728,7.357789,5.9071865,3.5239654,15.069284,5.310323
5.125,9.25,4.132852077484131,0.0,5.9071865,3.5239654,4.363728,7.357789,14.300816,3.8867388
9.25,5.125,4.11142110824585,0.10000000149011612,4.3776994,7.317154,5.9165716,3.5045884,15.0139475,5.2937927
5.125,9.25,4.11142110824585,0.10000000149011612,5.9165716,3.5045884,4.3776994,7.317154,14.149443,3.8157475
9.25,5.125,4.085742473602295,0.20000000298023224,4.392238,7.2751136,5.924933,3.487748,14.961114,5.2761836
5.125,9.25,4.085742473602295,0.20000000298023224,5.924933,3.487748,4.392238,7.2751136,13.994393,3.7458408
9.25,5.125,4.055763244628906,0.30000001192092896,4.4073524,7.231651,5.9322553,3.473475,14.9067,5.2579927
5.125,9.25,4.055763244628906,0.30000001192092896,5.9322553,3.473475,4.4073524,7.231651,13.829931,3.678063
9.25,5.125,4.021419048309326,0.4000000059604645,4.4230523,7.1867447,5.938521,3.4618065,14.854189,5.2376275
5.125,9.25,4.021419048309326,0.4000000059604645,5.938521,3.4618065,4.4230523,7.1867447,13.666483,3.6104228
9.25,5.125,3.9826347827911377,0.5,4.439349,7.1403713,5.943709,3.4527864,14.811236,5.2108583
5.125,9.25,3.9826347827911377,0.5,5.943709,3.4527864,4.439349,7.1403713,13.50569,3.5433435
9.25,5.125,3.9393248558044434,0.6000000238418579,4.456256,7.0925026,5.947796,3.4464653,14.768818,5.1819367
5.125,9.25,3.9393248558044434,0.6000000238418579,5.947796,3.4464653,4.456256,7.0925026,13.348032,3.4732158
9.25,5.125,3.891388416290283,0.699999988079071,4.473788,7.043106,5.9507546,3.4429016,14.725288,5.1524334
5.125,9.25,3.891388416290283,0.699999988079071,5.9507546,3.4429016,4.473788,7.043106,13.193336,3.3994164
9.25,5.125,3.8387112617492676,0.800000011920929,4.4919615,6.9921446,5.9525547,3.4421628,14.680772,5.1223717
5.125,9.25,3.8387112617492676,0.800000011920929,5.9525547,3.4421628,4.4919615,6.9921446,13.041071,3.332537
9.25,5.125,3.7811617851257324,0.9000000357627869,4.5107965,6.939575,5.953161,3.4443254,14.635389,5.0917816
5.125,9.25,3.7811617851257324,0.9000000357627869,5.953161,3.4443254,4.5107965,6.939575,12.894035,3.2803423
9.25,5.125,3.7185916900634766,1.0,4.5303154,6.8853498,5.9525337,3.4494774,14.589288,5.060689
5.125,9.25,3.7185916900634766,1.0,5.9525337,3.4494774,4.5303154,6.8853498,12.749121,3.2267337
9.25,5.125,3.650829553604126,1.100000023841858,4.550543,6.8294125,5.950628,3.4577186,14.542621,5.0291276
5.125,9.25,3.650829553604126,1.100000023841858,5.950628,3.4577186,4.550543,6.8294125,12.604435,3.1735115
9.25,5.125,3.5776820182800293,1.2000000476837158,4.571507,6.7717004,5.9473915,3.4691634,14.496229,4.998272
5.125,9.25,3.5776820182800293,1.2000000476837158,5.9473915,3.4691634,4.571507,6.7717004,12.460375,3.1210446
9.25,5.125,3.4989264011383057,1.3000000715255737,4.5932407,6.712141,5.942766,3.4839423,14.45625,4.9716725
5.125,9.25,3.4989264011383057,1.3000000715255737,5.942766,3.4839423,4.5932407,6.712141,12.315862,3.0688715
9.25,5.125,3.4143078327178955,1.4000000953674316,4.615782,6.6506515,5.9366846,3.5022054,14.425159,4.950926
5.125,9.25,3.4143078327178955,1.4000000953674316,5.9366846,3.5022054,4.615782,6.6506515,12.173021,3.0188322
9.25,5.125,3.3235321044921875,1.5,4.6391726,6.587136,5.9290686,3.5241253,14.39408,4.9296064
5.125,9.25,3.3235321044921875,1.5,5.9290686,3.5241253,4.6391726,6.587136,12.042622,2.9742444
9.25,5.125,3.2262582778930664,1.600000023841858,4.6634636,6.521483,5.9198284,3.5499024,14.362158,4.906473
5.125,9.25,3.2262582778930664,1.600000023841858,5.9198284,3.5499024,4.6634636,6.521483,11.915866,2.9291067
9.25,5.125,3.1220901012420654,1.7000000476837158,4.6887126,6.4535637,5.908859,3.57977,14.326088,4.8775635
5.125,9.25,3.1220901012420654,1.7000000476837158,5.908859,3.57977,4.6887126,6.4535637,11.790146,2.8841095
9.25,5.125,3.010559320449829,1.8000000715255737,4.7149887,6.383226,5.8960357,3.614003,14.291262,4.847429
5.125,9.25,3.010559320449829,1.8000000715255737,5.8960357,3.614003,4.7149887,6.383226,11.664617,2.836136
9.25,5.125,2.891111373901367,1.899999976158142,4.742373,6.310289,5.8812118,3.6529272,14.25732,4.8149347
