,edge,message_x,message_y,dx,dy,r,mass_j,time
173,"(1, 2)",-0.3196882,0.2282547,4.133410930633545,-0.6397991180419922,4.182634353637695,4.5,0.02800000086426735
174,"(1, 0)",0.05194863,0.04840056,-1.768186092376709,3.4011781215667725,3.8333399295806885,1.75,0.029000001028180122
175,"(2, 0)",0.13857062,0.18776917,-5.900993347167969,4.041176795959473,7.152120590209961,1.75,0.029000001028180122
176,"(0, 1)",-0.34439147,0.29939604,1.768186092376709,-3.4011781215667725,3.8333399295806885,3.75,0.029000001028180122
177,"(2, 1)",0.13371873,0.24263787,-4.13280725479126,0.6399989128112793,4.182068347930908,3.75,0.029000001028180122
178,"(0, 2)",-0.59572744,0.42016155,5.900993347167969,-4.041176795959473,7.152120590209961,4.5,0.029000001028180122
179,"(1, 2)",-0.3196672,0.2282486,4.13280725479126,-0.6399989128112793,4.182068347930908,4.5,0.029000001028180122
180,"(1, 0)",0.05196344,0.048425682,-1.768864631652832,3.400418758392334,3.832979440689087,1.75,0.029999999329447746
181,"(2, 0)",0.13856909,0.18777382,-5.901068210601807,4.040617942810059,7.151866912841797,1.75,0.029999999329447746
182,"(0, 1)",-0.3443711,0.29935655,1.768864631652832,-3.400418758392334,3.832979440689087,3.75,0.029999999329447746
183,"(2, 1)",0.13370533,0.24260509,-4.132203578948975,0.6401991844177246,4.181502342224121,3.75,0.029999999329447746
184,"(0, 2)",-0.5956979,0.42013764,5.901068210601807,-4.040617942810059,7.151866912841797,4.5,0.029999999329447746
185,"(1, 2)",-0.31964633,0.2282426,4.132203578948975,-0.6401991844177246,4.181502342224121,4.5,0.029999999329447746
186,"(1, 0)",0.05197826,0.048450805,-1.7695426940917969,3.3996591567993164,3.832618236541748,1.75,0.03099999949336052
187,"(2, 0)",0.13856757,0.18777844,-5.901142597198486,4.040058612823486,7.151611804962158,1.75,0.03099999949336052
188,"(0, 1)",-0.34435076,0.29931715,1.7695426940917969,-3.3996591567993164,3.832618236541748,3.75,0.03099999949336052
189,"(2, 1)",0.13369189,0.24257234,-4.1315999031066895,0.6403994560241699,4.180936336517334,3.75,0.03099999949336052
190,"(0, 2)",-0.59566814,0.4201137,5.901142597198486,-4.040058612823486,7.151611804962158,4.5,0.03099999949336052
191,"(1, 2)",-0.3196255,0.22823656,4.1315999031066895,-0.6403994560241699,4.180936336517334,4.5,0.03099999949336052
192,"(1, 0)",0.05199308,0.04847593,-1.77022123336792,3.3988990783691406,3.8322575092315674,1.75,0.03200000151991844
193,"(2, 0)",0.13856603,0.18778303,-5.901216506958008,4.039498329162598,7.1513566970825195,1.75,0.03200000151991844
194,"(0, 1)",-0.34433037,0.29927778,1.77022123336792,-3.3988990783691406,3.8322575092315674,3.75,0.03200000151991844
195,"(2, 1)",0.13367845,0.2425395,-4.130995273590088,0.640599250793457,4.180369853973389,3.75,0.03200000151991844
196,"(0, 2)",-0.59563845,0.42008972,5.901216506958008,-4.039498329162598,7.1513566970825195,4.5,0.03200000151991844
197,"(1, 2)",-0.31960446,0.22823045,4.130995273590088,-0.640599250793457,4.180369853973389,4.5,0.03200000151991844
198,"(1, 0)",0.052007884,0.048501045,-1.7708992958068848,3.3981387615203857,3.8318965435028076,1.75,0.032999999821186066
199,"(2, 0)",0.13856445,0.18778762,-5.901289463043213,4.038937568664551,7.1511006355285645,1.75,0.032999999821186066
200,"(0, 1)",-0.34431005,0.29923826,1.7708992958068848,-3.3981387615203857,3.8318965435028076,3.75,0.032999999821186066
201,"(2, 1)",0.13366504,0.24250671,-4.130390167236328,0.6407990455627441,4.179802417755127,3.75,0.032999999821186066
202,"(0, 2)",-0.59560865,0.42006573,5.901289463043213,-4.038937568664551,7.1511006355285645,4.5,0.032999999821186066
203,"(1, 2)",-0.3195835,0.22822437,4.130390167236328,-0.6407990455627441,4.179802417755127,4.5,0.032999999821186066
204,"(1, 0)",0.05202271,0.04852619,-1.7715778350830078,3.3973782062530518,3.831535816192627,1.75,0.03400000184774399
205,"(2, 0)",0.13856287,0.18779218,-5.901362419128418,4.038376808166504,7.150843620300293,1.75,0.03400000184774399
206,"(0, 1)",-0.34428966,0.29919878,1.7715778350830078,-3.3973782062530518,3.831535816192627,3.75,0.03400000184774399
207,"(2, 1)",0.1336516,0.24247387,-4.12978458404541,0.6409988403320312,4.179234504699707,3.75,0.03400000184774399
208,"(0, 2)",-0.5955788,0.42004168,5.901362419128418,-4.038376808166504,7.150843620300293,4.5,0.03400000184774399
209,"(1, 2)",-0.3195624,0.22821823,4.12978458404541,-0.6409988403320312,4.179234504699707,4.5,0.03400000184774399
210,"(1, 0)",0.052037515,0.048551306,-1.7722563743591309,3.3966174125671387,3.8311750888824463,1.75,0.03500000014901161
211,"(2, 0)",0.13856132,0.18779674,-5.901435375213623,4.037816047668457,7.15058708190918,1.75,0.03500000014901161
212,"(0, 1)",-0.34426925,0.2991593,1.7722563743591309,-3.3966174125671387,3.8311750888824463,3.75,0.03500000014901161
213,"(2, 1)",0.13363816,0.24244106,-4.129179000854492,0.6411986351013184,4.178666591644287,3.75,0.03500000014901161
214,"(0, 2)",-0.59554905,0.42001754,5.901435375213623,-4.037816047668457,7.15058708190918,4.5,0.03500000014901161
215,"(1, 2)",-0.3195414,0.22821215,4.129179000854492,-0.6411986351013184,4.178666591644287,4.5,0.03500000014901161
216,"(1, 0)",0.052052334,0.048576422,-1.7729344367980957,3.3958563804626465,3.8308141231536865,1.75,0.036000002175569534
217,"(2, 0)",0.13855973,0.18780127,-5.901507377624512,4.037254810333252,7.15032958984375,1.75,0.036000002175569534
